疾病名称,治疗
婴儿湿疹,"婴儿湿疹要去哪个科治疗？
可以去皮肤科、儿科、儿童变态反应（过敏反应）科。
婴儿湿疹有哪些治疗方法？
小儿湿疹治疗方法需要多方面共同治疗，包括环境管理、药物治疗、生活管理等。
具体如下：
保证喂养环境以及湿疹部位的凉爽通风透气，不要捂着、热着宝宝；室内湿度尽量控制在40%～50%，温度在24度以内，经常开窗通风。
避免湿疹部位反复摩擦刺激，贴身衣物穿的柔软、舒适、无刺激，适当给宝贝修剪指甲，避免搔抓刺激；尽量回避诱发因素，需要家长细心观察，日常生活护理过程中有明显的诱发因素，需要及时回避。
保湿：湿疹部位不建议反复清洗刺激，清洗皮肤建议温清水冲洗即可，不要使用碱性肥皂等刺激物清洗；湿疹严重的宝宝不建议泡澡，建议清水冲洗3～5分钟即可，沐浴次数不超过每天一次；沐浴后可湿疹部位立即涂抹润肤剂（含有氧化锌的护肤霜或者凡士林油软膏或乳霜均可），一天可涂抹多次。
如果局部皮肤伴有细菌感染，选用外用抗生素软膏；顽固湿疹可以使用外用激素乳膏治疗。
注意：市面上有琳琅满目的湿疹膏，里面所含的成分比较多，多会声称「纯天然配方，植物精华，安全放心」等等；但缓解湿疹效果迅速的，很有可能加了激素。且不说其它植物成分的安全情况，其中可能加的激素成分和剂量也不明确，盲目使用容易增加激素副作用，不如在医生的指导下明明白白用药。
湿疹宝宝怎么选择皮肤保湿剂？
1. 选择含脂量高、无易致敏成分的产品
湿疹宝宝推荐选择含脂量更高的保湿剂，霜剂比乳液含脂量更高，所以更适合湿疹宝宝。建议避免选择添加香料、羊毛脂等常见易致敏成分的保湿霜；而优先选择含有神经酰胺、角鲨烯等成分的产品。
2. 优先选有医学背书的大品牌
品牌选择则建议优选有良好医学背景公司的产品，比如丝塔芙、适乐肤、艾维诺、妙思乐等。湿疹严重处则推荐选择具有更强封闭效果的凡士林涂抹，同时建议湿疹宝宝每周使用量至少达到 100g 。
3. 远离「卫字号」「消字号」的产品
这些绕开药品监管（没有药准字）的「宝宝湿疹膏」的产品，看似安全，标榜成分温和、绝无激素、纯植物配方、宝宝专用，实际很多成分复杂，易对宝宝皮肤造成严重伤害，应当严格避免使用。
婴儿湿疹自己能好吗？婴儿湿疹一定需要治疗吗？
婴儿湿疹有自愈可能，不一定要治疗。
但是在湿疹急性发作期（如难以判断需咨询医生），建议进行相应治疗。因为瘙痒会给孩子的生活和睡眠带来影响，皮肤炎症还容易继发细菌感染，导致湿疹加重，或者影响康复速度。
婴儿湿疹用糖皮质激素类药膏治疗时有副作用吗？
外用糖皮质激素可引起一定的皮肤不良反应，如皮肤萎缩、毛细血管扩张、膨胀纹、多毛症、激素性痤疮、细菌感染、紫癜等。
长期大面积应用有时也可导致全身不良反应，如医源性肾上腺皮质功能不全、库欣综合征、精神神经症状、青光眼、白内障等。
但是按医嘱正规使用外用糖皮质激素对孩子的益处远大于它的不良反应，因此建议不要过度恐惧激素药物的副作用从而影响宝宝的治疗。
市面上有琳琅满目的湿疹膏，里面所含的成份比较多，一般是几种声称清热解毒的药物加或者不加激素组成，但效果确切的，还是加了激素的。
与其用这种效价、剂量不明的含有激素的湿疹膏，不如在医生的指导下明明白白用药。
宝宝反复湿疹，该怎么办？
1. 找医生重新评估病情
通过线上或线下的方式就医，看皮肤科医生，由医生重新评估病情，一是核实宝宝的诊断，也看看有没有新的问题，二是查看病情整体的严重程度。
建议重新就医，也有以下的考虑：
湿疹种类较多，包括特应性湿疹（也叫「特应性皮炎」）、干性湿疹、钱币状湿疹等；
有的疾病，可能会被误认为是湿疹；
有的湿疹可能伴随有细菌、病毒感染等问题，需要医生的专业评估。
既往方案，不适合目前病情。
2. 在医生的指导下合理用药
针对湿疹的合理用药，有这样一些原则：
一般以局部治疗为主，不太需要常规口服药物；
局部治疗一般选择的药物，是糖皮质激素，具体的药物种类根据实际情况而定；
个别时候，比如面部、外阴等皮肤薄嫩部位，可能会选择其他的药物作为替代，例如他克莫司软膏、吡美莫司乳膏、克立硼罗乳膏等；
如果瘙痒厉害，有时候会增加局部的冷敷、外用薄荷脑软膏、口服抗组胺药物等辅助止痒措施；
顽固或反复的湿疹，可能需要较长的治疗时间，后期可能需要巩固治疗、维持治疗，具体方案需要由医生根据实际情况来定。
3. 规范的湿疹护理习惯
下面的一些措施对大多数反反复复的湿疹，都有帮助：
勤洗澡，水温 ≤ 40 ℃，时间 ≤ 10 分钟
必要时可以为宝宝每日洗 1 次澡。用温水而非热水洗澡，建议水温不高于 40 ℃。洗澡时间不宜太长，最好是在 10 分钟以内。洗澡时，选择温和的清洁产品，不用香皂一类的碱性产品。
冲洗干净后，用毛巾拍干多余的水分，在宝宝皮肤还比较湿润时，及时涂抹保湿产品，重点涂抹在发红、瘙痒、干燥和容易反复起湿疹的区域。
每日涂抹 2 次以上保湿用品
保湿用品可以每日可以使用 2 次或者更多。选择合适、靠谱的保湿产品，不用引起过敏的产品，不建议选择油类、纯天然的产品。
穿舒适的衣服
为宝宝选择棉质、柔软、宽松的衣物，根据气温适度穿着，避免太热对宝宝的皮肤造成刺激。
修剪指甲
替宝宝修剪指甲，尽量避免他抓伤皮肤。注意清洁宝宝的小手和指甲缝。瘙痒明显时，可以帮宝宝轻抚皮肤。
保持饮食多样性
均衡饮食，保持饮食的多样性，不用盲目忌口。如果确实怀疑某些食物会引起或者加重湿疹，需要就医评估。
留意其他可能加重病情的因素
汗水刺激、精神压力、肥皂和洗涤剂等因素，需适当警惕，如果发现病情加重，需要避免。
4. 必要时就医调整治疗方案
遇到下列情况时，有必要找医生复诊、调整治疗方案：
家长自身拿不准如何正确处理；
宝宝非常不舒服，影响了睡眠和日常活动；
怀疑有皮肤感染，皮肤出现脓液、黄色痂；
居家处理后没有改善的迹象，甚至有加重的情况；
怀疑出现了药物的副作用，例如毫毛增多。
婴儿湿疹治好后会复发吗？
由于湿疹宝宝本身的皮肤屏障功能受损和家族遗传史的关系，婴儿湿疹容易反复发作。
有研究显示
[8]
，婴儿湿疹的复发率在 13.5% ，即大约每 100 个患儿就会有 14 个复发，且复发2～4次居多。
宝宝湿疹不小心抓破了皮怎么办？
湿疹比较瘙痒，容易引起宝宝抓挠甚至抓破皮肤，出现这种情况的时候，可以考虑加强湿疹部位的防护和护理，具体有以下几点建议，供参考。
1. 注意抓破部位的清洁
清水清洗
：直接用清水清洗，注意清理抓伤部位的污垢和可见颗粒，清洗后擦干，防止感染。
不需要使用其他洗剂
：需要强调的是，单纯用清水就有减少皮肤表面细菌（比如金黄色葡萄球菌）的作用，不需要给宝宝使用其他洗剂。
2. 注意抓破部位的保护
涂抹保湿霜
：在挠破的地方涂抹保湿霜，例如凡士林，有一定的保护和隔离作用，也能够促进抓伤部位皮肤的愈合。凡士林对宝宝的皮肤几乎没有刺激性，家长们可以放心用。
覆盖伤口
：如果抓破的部位很明显，或者容易接触到其他脏东西，可以用医用无菌敷贴或者医用纱布（普通药店就可以买到）覆盖伤口，保护破皮部位，使其不受干扰地愈合。
3. 继续规范治疗当前湿疹
控制湿疹
：湿疹不控制的话，还会继续有瘙痒，宝宝可能还会因瘙痒而持续抓挠。因此，应继续治疗当前的湿疹。
4. 注意宝宝手和指甲的清洁
勤洗手
：比如，勤给宝宝洗手，给宝宝剪短指甲，以减少抓挠后感染的机会。
5. 若有感染，可遵医嘱外用抗生素治疗
不建议预防性使用抗生素
：宝宝抓伤后一般不会出现感染，考虑到长期用抗生素可能会引起耐药，因此不建议提前使用抗生素预防感染。另一方面，抗生素对减轻湿疹的疗效也不确定，因此，家长不要自行给宝宝预防性地用药。
出现感染迹象时
：如果宝宝在抓伤后出现了感染迹象，比如化脓/脓性渗出、脓疱、结痂、湿疹加重或常规局部用激素治疗后无效，可以考虑外用抗生素抗感染治疗，例如莫匹罗星乳膏、红霉素软膏、夫西地酸乳膏等。
及时就医
：如果不确定宝宝是否有感染，以及具体的感染类型是什么，或者用了抗生素之后还是没有好转，建议及时就医咨询。
宝宝的湿疹和痱子混合一起了怎么办？
1. 避免涂抹厚重的保湿霜
高温、高湿的外部环境可导致宝宝同时发生湿疹和痱子，这种情况下选择霜剂涂抹治疗湿疹，可能会因为脂质封闭汗腺影响散热和排汗导致痱子进一步加重，因此应当避免涂抹厚重保湿霜的涂抹，如考虑到局部仍需保湿，可选择轻薄的保湿乳液等适合痱子区域涂抹的保湿剂。
2. 加强清洗，适当降温
加强清洗，比如每日两次或多次清洗及时去除汗液，并及时将宝宝转移至凉爽通风的环境中，可在尽快缓解痱子的同时一并改善湿疹症状。
3. 必要时就医，使用药物
如通过以上方法，仍不能有效缓解，则可考虑在医生指导下使用弱效糖皮质激素软膏治疗。
宝宝长湿疹痒怎么办？
1. 避免外部刺激
寻找可能诱导湿疹和瘙痒的因素，尽量避免不利因素，常见的有羊毛衣物、清洁用品（肥皂、香皂等）、不安全的护肤品、汗液浸渍等。及时避免这些诱因是止痒的前提。
2. 患处温水浸浴 5～10 分钟
浸浴后及时保湿，可以一定程度缓解因干燥导致的瘙痒。同时，稍低于皮温的温水浸浴还可以冷却皮肤，缓解热刺激导致的瘙痒[1]。
3. 有效降温
炎热环境可能加重瘙痒症状，而及时减少衣物、遇热时及时打开风扇或空调都可有效缓解瘙痒症状。
4. 就医原则
当在以上措施仍不能有效控制瘙痒时，则应及时带宝宝就医，在医生的指导下外用糖皮质激素等治疗。"
小儿鼻炎,"小儿鼻炎要去看哪个科？
小儿鼻炎应该就诊于耳鼻喉科或者儿科，对于怀疑为变应性鼻炎患儿，除了耳鼻喉科外，也可就诊于过敏反应专科。
小儿鼻炎能自己好吗？
如果为季节性变应性鼻炎，当发作季节过去，症状可以缓解或消失，但会反复发作。
非变应性鼻炎在避免诱发因素后，症状也可以缓解或消失，当再次暴露于诱发因素后还会再发。
急性上呼吸道感染病程具有自限性，一般来说，婴幼儿病程在 10～14 天，较大儿童在 5～7 天。但如果病情迁延不愈，或症状加重，需及时至医院就诊。
小儿鼻炎怎么治疗？
小儿鼻炎的处理原则是明确病因，针对病因进行治疗。病因不明者，可进行经验性对症治疗；如果治疗后鼻炎症状没有缓解，应重新评估。对小儿鼻炎患儿要注意去除或避免接触过敏原、烟雾等环境诱发和加重咳嗽的因素。
小儿鼻炎常见病因的治疗原则如下：
变应性鼻炎
：予以抗组胺药物、鼻喷糖皮质激素治疗，或联合鼻黏膜减充血剂、白三烯受体拮抗剂治疗；查明过敏原后，部分可以考虑结合脱敏治疗。
非变应性鼻炎
：建议鼻内糖皮质激素（INGC）联合鼻内抗组胺药，而不是单用其中一种药物。目前也有含糖皮质激素和抗组胺药物的复合喷雾。对于具有明显鼻充血的非变应性鼻炎患者，如果其鼻充血症状经 INGC、氮卓斯汀或两者联合用药治疗均无效，则建议按需加用口服非处方减充血剂。
感
染性鼻炎
：
急性症状多为病毒感染所致，其病情较轻，不需要特殊治疗，一般为对症处理，比如充分口服补液、按需退热、
生理盐水洗鼻（视频）
/
喷鼻（视频）
等。
若有细菌感染的症状，比如症状迁延超过 2 周，或发热退而复现，或持续高热伴脓鼻涕、精神差等，可以考虑进行抗感染治疗。
小儿鼻炎需要每天洗鼻吗？
用生理盐水或生理海盐水冲洗鼻腔可以减少鼻后滴漏，去除分泌物，并冲走变应原和刺激物。可以在给予其他鼻内药物之前临时用盐水冲洗鼻腔，以便在用药时黏膜刚被清洁过。
现有多种非处方
儿童鼻腔冲洗器
，包括挤压瓶、注射器和壶。患者可以自己配制盐水溶液或购买市面上已配好的产品。根据症状的严重程度，鼻腔冲洗（每侧鼻腔至少 200 mL 温盐水）可以只在需要时进行、每日进行，或者一日多次进行。
应注意确保冲洗瓶不被污染。方法包括定期微波消毒或更换瓶子，并使用蒸馏水或冷开水。
小儿鼻炎需要住院吗？
门诊治疗效果不满意或症状严重，如感染性鼻炎出现严重并发症状时需要住院治疗。
治疗小儿鼻炎的药物有哪些常见副作用？
小儿鼻炎的药物常用药物有抗生素、二代抗组胺药、鼻内激素等，上述药物按规范化疗程使用都是安全的。
口服二代抗组胺药可见有犯困、嗜睡等不良反应；鼻内激素是鼻腔局部吸收，多是局刺激，比如导致鼻出血，基本没有全身反应。
小儿鼻炎需要手术治疗吗？
小儿鼻炎并不推荐手术治疗。
小儿鼻炎能根治吗？
变应性鼻炎在避免接触过敏原，用药治疗后，症状可被控制，但并不能根治。
感染性鼻炎多是病毒，具有自限性，细菌经合理抗感染，也可以彻底治愈的。但其发病有季节规律性，即使痊愈后不注意防护，日后仍会患病。
非药物性鼻炎在药物控制后，应该避免诱发因素，以防复发。"
新生儿黄疸,"新生儿生理性黄疸需要治疗吗？
对于正常足月儿，生理性黄疸的确不需要特殊的治疗，大多可自行消退。
但正如前面所说，生理性黄疸是一个排他性诊断，在排除其他病理性因素之前，你永远不能明确一定是生理性，所以你仍需要密切监测黄疸值的变化情况，一旦超出了正常值，最好还是到医院就诊，完善相关检查以排除病理性因素
[2]
。
对于早产儿，早产本身就是一种高危因素。因此，早产儿的血清总胆红素值（TSB）即使在正常范围之内也需要提前干预处理。
新生儿母乳性黄疸怎么处理？
一般认为母乳性黄疸的预后良好，暂停母乳，或者继续母乳喂养，黄疸都可自行消退。目前国内对于母乳性黄疸的处理建议如下
[4]
：
早发型母乳性黄疸：主要考虑是因为早期能量摄入不足所致，所以应当鼓励少量多次的喂奶，保证足够的母乳量和能量的摄入，必要时可以补充配方奶；同时要积极监测胆红素值的情况（建议住院监测），若达到干预标准，则需及早干预。
晚发型母乳性黄疸：TSB <15 mg/dl 时不需要停喂母乳，暂不处理；> 15 mg/dl 时，暂停母乳 3 天，改人工喂养；> 20 mg/dl 时，需要加用光疗。
新生儿黄疸的治疗方法有哪些？
包括光照疗法、换血治疗、药物治疗
[1]
。
光照疗法
：简称光疗，目的是降低血清胆红素。
换血治疗
：目的是防止胆红素脑病的发生。
药物治疗
：包括酶诱导剂、白蛋白、静注免疫球蛋白、益生菌等药物。
新生儿黄疸患儿为什么可使用光照来降低黄疸？
通俗点说：光照能够使得胆红素「变形」，本来血中的这部分胆红素是不溶于水的，「变形」后它就变得可溶了，于是不需要再经过肝脏的「改造」，它就能够经胆汁和小便排出体外，这就加快了胆红素的清除速度
[9]
。
新生儿黄疸患儿使用的光照疗法与太阳光是一样的吗？
目前最常用的光源是蓝光，这主要是因为胆红素能吸收的光线中，以波长 450～460 nm 的光线作用最强，而蓝光的波长则在 425～475 nm，最符合要求。
而太阳光则包含了各种不同波长的光，其中当然也有蓝光，所以晒太阳对降黄疸有一定的帮助，但帮助相对较为有限
[1]
。
多晒太阳是不是可以缓解新生儿黄疸？
可以缓解，但不推荐该方法。
光疗的效果与暴露的皮肤面积、光照的强度以及持续的时间都呈正相关。而如果自己在家晒太阳，以上三点都很难得到保证，对于需要积极降黄疸的患儿来说是杯水车薪。
其次，虽然已明确直接晒太阳能够降低黄疸水平，但由于裸露的皮肤直接暴露于阳光下有出现晒伤的风险，医学早已不推荐将其作为重度黄疸的治疗方法。
此外，接受日光直接照射的婴儿也会暴露于不需要且可能有害的紫外线辐射，从而增加发生皮肤恶性肿瘤的风险。
所以不建议 6 个月以下婴儿在阳光下直晒。黄疸异常升高时，应该照蓝光；未达到照光标准时不建议直晒太阳，弊大于利。
新生儿黄疸的宝宝进行光疗，一般需要多久？
光疗分为连续照射和间断照射
[6]
：
连续照射：主要用于黄疸较重的溶血患者（如 ABO 溶血、Rh 溶血），可持续 24～72 小时；
间断照射：照 8～12 小时后停 12 或 16 小时，再次循环。
对于一般的高胆红素血症患儿，光照时间达到 24～48 小时即可获得满意的效果。
新生儿黄疸的患儿使用光疗，会有副作用吗？
有的。常见的副作用如下：
发热
：主要是因为蓝光箱本身产热的原因，只要注意通风即可。
腹泻、皮疹
：一般停止光疗后即可缓解。
光疗时光线可
对视网膜造成伤害
，而且长时间的强光疗有增加男婴外生殖器鳞癌的风险。所以在光疗时要用遮光眼罩遮住双眼，用尿布遮盖会阴部，而尽量暴露其他部位的皮肤
[7]
。
新生儿黄疸的患儿使用的换血疗法是什么？
对于存在换血指征的患者，使用他人的红细胞和血浆（需与患儿血液相匹配）来替换掉患儿自身几乎全部的红细胞和血浆，以期达到如下目的
[1]
：
及时换出抗体和致敏的红细胞，减轻溶血；
降低血清中胆红素的浓度，防止胆红素脑病的发生；
纠正贫血，防止心力衰竭。
新生儿黄疸的宝宝在什么情况下需要换血？
换血疗法是治疗高胆红素血症最迅速的方法。
符合以下任意一个条件，都需要换血治疗
[1]
：
明确的严重溶血，HB < 110 g/L，出生时脐血胆红素＞76 μmol/L，伴水肿、肝大、心力衰竭等；
新生儿查血清胆红素值符合换血标准的，而且光疗效果欠佳的人；（此标准随患儿年龄和体重的不同而不同，需具体情况具体分析）；
对已经出现急性胆红素脑病症状的患者，不管胆红素值是否超过标准，均建议换血。
新生儿黄疸的宝宝在换血后，还需要其他处理吗？
患儿换血后并非就不用操心了，换血后需要注意以下几方面的问题：
部分的患儿在换血后的 2～4 小时，可出现胆红素反弹的现象，此时仍需要继续予光疗，并每隔 4 小时监测 总胆红素（TSB）；
术后 3 天内，预防性的使用抗生素防止感染；
监测电解质、血气、血糖，及时纠正异常；
如若换血后，血清胆红素值仍达到换血的指标，则需要第二次换血。
新生儿黄疸在临床上常见的治疗药物有哪些？
酶诱导剂
：常用的是苯巴比妥，它可以增加肝细胞处理未结合胆红素的能力，可能出现的副作用为嗜睡、乏力等
[1]
。有高胆红素血症家族史的新生儿，一般推荐生后 24 h～3 d 口服给药，持续 3～5 d
[6]
。
白蛋白
：主要用于结合游离的胆红素，预防胆红素脑病的发生。用法为静脉输注，偶可引起皮疹、颜面潮红、恶心、发热等不良反应
[1]
。
静注免疫球蛋白
：主要用于溶血的患者，用于阻断溶血过程。输注过程中可能出现头痛、心慌、恶心等不良反应
[1]
。
益生菌
：常用的是双歧杆菌三联活菌散、枯草杆菌二联活菌颗粒等，可以促进胆红素的转化和排泄，降低胆红素浓度
[4]
。使用温水冲服给药，一天三次。尚未有明显不良反应
[6]
。
新生儿黄疸的宝宝吃益生菌，对退黄会有帮助吗？
不推荐单独吃益生菌治疗新生儿黄疸，暂无单独使用益生菌治疗黄疸的明确证据。一些临床医生可能会使用益生菌（双歧杆菌、枯草杆菌等）作为综合治疗时的辅助用药，而并不是常规的治疗方案
[6,7]
。
一些研究显示，益生菌的作用在于改善肠道内环境，调节、完善肠道菌群，而一个正常的肠道菌群有助于将结合胆红素转变为粪胆原（大便的一部分），然后排除体外，从而减少了肠肝循环
[8]
。
但假若患儿本身肠道功能就足够完善，那么这种帮助其实并不大。
此外，国内、国外的益生菌菌种也有异同，建议使用前咨询专科医生
[6]
。
新生儿黄疸患儿若并发胆红素脑病，还能治吗？
对于急性胆红素脑病的患儿，最重要的是尽量快速地降低胆红素水平。对于这类患儿，即使胆红素脑病已经发生，若胆红素值能迅速下降，神经系统损害的逆转是可能的
[1]
。而一旦到达后遗症期，只能积极进行智能和运动方面的康复治疗。"
小儿腹泻,"什么情况的儿童腹泻需要去医院治疗？
有以下情况时表明脱水明显，应及时医院就诊：
呕吐、腹泻次数频繁，吐泻量大容易导致脱水；
进食很少：有些孩子胃肠不适时拒绝进食或家长刻意限制其饮食，进食很少时也会导致脱水、低血糖、电解质紊乱；
尿量：小儿出现尿量比平时明显减少，颜色较黄等情况；
前囟、眼窝：如果有凹陷则为脱水的表现；
皮肤、黏膜：如果患儿出现面色苍白，皮肤黏膜干燥，弹性差也是脱水的表现；
精神烦躁或精神萎靡都可以是脱水的表现；
眼泪：哭时眼泪少或没有眼泪；
休克的表现：面色发灰或皮肤发花，出冷汗，精神极度萎靡，四肢发冷，脉搏细而快，尿量少。
腹痛：是小儿腹泻常见的伴发症状，但程度都比较轻，常在排便前后出现阵发性疼痛，如果小儿腹痛严重或成为持续性，应立即住院治疗，警惕发生出血性小肠炎或肠套叠。
惊厥：如果出现全身性或局限性惊厥，同时伴有口唇青紫，应及时医院就诊。
腹胀：一般腹泻多无腹胀或仅有轻度腹胀，如果腹胀比较严重，往往是伴有低钾血症或是严重的感染，应及时住院治疗。
发热：如果体温持续在 39 ℃ 以上，说明可能感染较严重，医生会结合孩子其他的症状、体征来判断感染的严重情况，感染严重者需要住院治疗。
儿童腹泻如何进行补液治疗？
儿童腹泻补液治疗包括口服补液法和静脉补液法：
口服补液法：最好应用口服补液盐进行补液，白开水因为不含电解质，所以不适合单独用来补液。
从患儿腹泻开始，就给予口服足够的液体以预防脱水，给予口服补液盐加上其他清洁用水，在每次稀便后补充一定量的液体，具体补液量如下：
* 6 个月者：50 ml；
* 6 个月～2 岁者：100 ml；
* 2～10 岁者：150 ml；
* 10 岁以上的患者：150 ml 或者更多，直至腹泻停止 <sup>[4]</sup>。
静脉补液法：适用严重腹泻，伴中重度脱水的患儿，静脉补液法补液速度较快
[1]
。
什么是口服补液盐？为什么要注意控制补充的速度？
世界卫生组织（WHO）在 1971 年推荐所有具有脱水症状的急性腹泻患者均可用口服补液盐预防和治疗。2006 年 WHO 公布新配方为：氯化钠 2.6 克、氯化钾 1.5 克、枸橼酸钠 2.9 克、无水葡萄糖 13.5 克
[3]
。
但口服补液盐应用不当会加重病情，甚至导致不良后果，其原因在于消化不良和急性胃肠炎患者的消化道黏膜有炎性水肿，吸收功能很差，短时间内大量快速服用补液盐，不但难以吸收，而且会促使胃肠蠕动加快，引起吐泻加剧，进而导致脱水及电解质紊乱加重。
所以，口服补液盐虽有许多优点。但也不能随意服用，应在就医后根据医生的指导使用。
儿童腹泻如何进行药物治疗？
抗感染治疗
：当出现腹泻时，不要先用抗生素。即使怀疑为细菌性腹泻，也不首先推荐使用抗生素，因为大多数病原菌所致的急性腹泻均具有自限性；对于痢疾样腹泻患儿、疑似霍乱合并严重脱水、免疫缺陷病、早产儿以及有慢性潜在疾病的儿童推荐应用抗生素治疗。由于我国各地抗生素的耐药情况不一样，可根据粪培养结果和药敏结果以及患儿临床情况进行选择。
益生菌治疗
：有助于恢复肠道的生态平衡，控制腹泻。常用的有双歧杆菌、粪链球菌、嗜酸乳杆菌、芽孢蜡样菌制剂。
肠黏膜保护剂
：能吸附病原体和毒素，维持肠细胞吸收分泌功能，增强屏障功能，阻止病原微生物的攻击，常见的有蒙脱石散。
抗分泌治疗
：可通过加强内源性脑啡肽抑制肠道水、电解质的分泌，治疗分泌性腹泻。常用药物为脑啡肽酶抑制剂消旋卡多曲。
补锌治疗
：对于经济条件不好，平时饮食不均衡、营养缺乏的儿童，可以适当补锌治疗
[1]
。
对于严重脱水者需要补液治疗。
儿童腹泻可以自行服用止泻药么？
不可以，一定要在医生指导下用药。
其实腹泻是病原体（病毒、细菌、真菌等）和腐败变质食物排泄的必须步骤，在病原体或相关毒素的清除、减轻腹痛这些方面，是一种暂时的、自然的自我保护。
如果用强力止泻药，仅仅解决腹泻拉得太多的症状，而没有清除病原体（儿童急性腹泻，很大一部分原因是病毒感染，病毒没有什么特效药可以「杀死」，就是等待自愈），可能会导致病原体等更多更久地停留在肠道，危害更大
[1]
。
因此小儿腹泻不能简单地使用止泻药物，要在对因治疗的基础上适当地应用止泻药。
慢性腹泻患儿为什么要补锌？
补锌可以减少腹泻的恶性循环
：慢性腹泻的小儿，身体虚弱胃口不好，加上摄入体内的营养大量流失，可能会出现缺锌的情况。血锌水平降低会阻碍肠黏膜再生，导致腹泻加重，使腹泻和缺锌之间形成恶性循环。
补锌有助于促进腹泻小儿的身体发育
：当小儿体内缺锌时，味觉功能减退、消化能力变弱，引起食欲不振。给经常腹泻的小儿适当补锌，有助于促进他们的食欲，增加饭量，确保小儿每天能够从食物中获取足够多的营养素，避免出现其它营养不良症，影响身体和智力发育。
补锌有助于提升腹泻小儿的机体免疫力
：锌对免疫调节有一定的作用，孩子缺锌会导致免疫力下降，身体杀菌和抗病毒能力大打折扣。适当的补锌能够提高小儿的机体免疫力
[5]
。
小儿腹泻应到哪个科室就诊？
儿科、急诊科。"
新生儿肺炎,"新生儿肺炎应该去哪个科室就诊？
新生儿科。
新生儿肺炎的治疗时间一般要多久？
新生儿肺炎的治疗疗程跟病原体及患儿对治疗的反应效果有关。对于无并发症的肺炎，一般治疗疗程为 10～14 天。但在患儿肺部感染较重且有先天性心脏病、早产低体重儿等合并症时，治疗疗程可能更长。
新生儿肺炎是否一定要住院治疗？
原则上轻症的新生儿肺炎不一定非要住院治疗，但由于新生儿肺炎往往具有病情不容易观察、发展变化较快等疾病特殊性，因此出于安全考虑，目前在大多数医院，一旦考虑或诊断新生儿肺炎，都会要求住院治疗。
新生儿肺炎是否一定要输液治疗？
对于临床症状较轻，吃奶、精神反应、面色等一般情况较好的患儿，不一定非要输液治疗，尤其对于生后病毒感染的患儿，最主要的治疗是雾化、吸痰保持呼吸道通畅等对症及吸氧、营养等支持治疗。但对于临床症状较重，病情发展变化快及一些有早产、低出生体重、先天性心脏病、免疫缺陷病、营养不良、遗传代谢病等高危因素的患儿，建议最好在疾病早期给予有效、强有力的治疗，以尽快控制感染，避免危及生命。
新生儿肺炎的治疗药物对新生儿有影响吗？
细菌感染所致的新生儿肺炎最主要是合理有效的抗感染治疗，早期医生会根据临床表现凭经验选用抗生素抗感染治疗，待病原学结果回报后根据感染病原选用合理的抗生素，而且目前大多数临床常用的抗生素，如头孢、青霉素类等药物的副作用都不大，正规使用对患儿健康影响不大。
如果是明确的普通病毒感染，可不予抗生素，给予对症治疗即可。
新生儿肺炎使用强力抗生素有危害吗？是否以后再发生感染会更难治疗？
每次新生儿肺炎感染的病原不一定是一样的，某些严重细菌感染时，是需要使用强效的抗生素的，而且偶尔一次的使用并不意味着以后每次感染都要使用强力抗生素。因为每次新的感染都是新的治疗，可轻可重，与既往感染是没有必然的联系。"
