<PAD>	0
<UNK>	1
疾	2
病	3
名	4
称	5
：	6
贫	7
血	8
。	9
简	10
介	11
是	12
什	13
么	14
？	15
指	16
人	17
体	18
外	19
周	20
中	21
红	22
细	23
胞	24
或	25
者	26
蛋	27
白	28
不	29
足	30
，	31
能	32
对	33
组	34
织	35
器	36
官	37
充	38
分	39
供	40
氧	41
的	42
一	43
类	44
临	45
床	46
综	47
合	48
征	49
可	50
引	51
起	52
头	53
痛	54
、	55
晕	56
失	57
眠	58
心	59
慌	60
皮	61
肤	62
黏	63
膜	64
苍	65
等	66
症	67
状	68
[	69
1	70
]	71
原	72
因	73
主	74
要	75
包	76
括	77
铁	78
缺	79
乏	80
叶	81
酸	82
维	83
生	84
素	85
B	86
2	87
妊	88
娠	89
毒	90
感	91
染	92
长	93
期	94
接	95
触	96
X	97
射	98
线	99
镭	100
此	101
部	102
也	103
由	104
遗	105
传	106
导	107
致	108
于	109
较	110
为	111
多	112
样	113
本	114
没	115
有	116
统	117
治	118
疗	119
方	120
法	121
般	122
需	123
根	124
据	125
给	126
予	127
经	128
后	129
缓	130
解	131
常	132
见	133
吗	134
但	135
具	136
发	137
率	138
尚	139
无	140
最	141
新	142
权	143
威	144
数	145
0	146
～	147
年	148
国	149
居	150
民	151
营	152
养	153
与	154
健	155
康	156
况	157
监	158
测	159
城	160
市	161
（	162
孕	163
妇	164
）	165
患	166
9	167
.	168
7	169
%	170
即	171
每	172
千	173
位	174
就	175
存	176
在	177
会	178
定	179
良	180
如	181
性	182
巨	183
幼	184
通	185
某	186
些	187
型	188
家	189
族	190
地	191
海	192
溶	193
种	194
哪	195
同	196
活	197
以	198
下	199
几	200
摄	201
入	202
吸	203
收	204
障	205
碍	206
丢	207
过	208
当	209
求	210
量	211
增	212
加	213
而	214
未	215
及	216
时	217
补	218
含	219
丰	220
富	221
食	222
物	223
容	224
易	225
特	226
别	227
胃	228
大	229
切	230
除	231
快	232
速	233
进	234
肠	235
道	236
减	237
少	238
慢	239
得	240
到	241
纠	242
正	243
造	244
成	245
吃	246
再	247
肝	248
炎	249
使	250
用	251
氯	252
霉	253
抗	254
磺	255
胺	256
药	257
化	258
放	259
元	260
关	261
相	262
弥	263
散	264
管	265
内	266
凝	267
败	268
疟	269
理	270
面	271
积	272
烧	273
伤	274
亚	275
硝	276
盐	277
短	278
间	279
均	280
群	281
婴	282
儿	283
和	284
哺	285
乳	286
女	287
若	288
青	289
往	290
偏	291
受	292
术	293
手	294
出	295
痔	296
疮	297
-	298
十	299
二	300
溃	301
疡	302
肿	303
瘤	304
母	305
亲	306
胎	307
O	308
A	309
第	310
前	311
已	312
产	313
其	314
他	315
黄	316
疸	317
严	318
重	319
还	320
现	321
力	322
衰	323
竭	324
4	325
之	326
月	327
透	328
史	329
表	330
降	331
程	332
度	333
色	334
睑	335
结	336
甲	337
颜	338
口	339
唇	340
变	341
继	342
续	343
展	344
粗	345
糙	346
皲	347
裂	348
神	349
系	350
耳	351
鸣	352
厥	353
视	354
觉	355
盲	356
点	357
记	358
忆	359
肢	360
端	361
麻	362
木	363
小	364
哭	365
闹	366
安	367
呼	368
动	369
深	370
气	371
坐	372
了	373
轻	374
困	375
难	376
被	377
迫	378
采	379
取	380
半	381
卧	382
态	383
循	384
环	385
静	386
跳	387
消	388
腹	389
胀	390
欲	391
退	392
便	393
秘	394
泻	395
吞	396
咽	397
异	398
癖	399
殊	400
泥	401
土	402
树	403
东	404
西	405
泌	406
尿	407
殖	408
紊	409
乱	410
免	411
疫	412
低	413
童	414
尤	415
显	416
著	417
只	418
检	419
该	420
何	421
看	422
待	423
这	424
情	425
浓	426
值	427
明	428
诊	429
断	430
更	431
找	432
果	433
影	434
响	435
预	436
死	437
亡	438
认	439
知	440
育	441
3	442
嘴	443
寒	444
冷	445
刺	446
激	447
饥	448
饿	449
比	450
考	451
虑	452
否	453
单	454
确	455
去	456
医	457
院	458
验	459
规	460
然	461
天	462
意	463
标	464
准	465
上	466
液	467
来	468
评	469
价	470
我	471
学	472
平	473
区	474
男	475
<	476
g	477
/	478
L	479
非	480
都	481
世	482
界	483
卫	484
制	485
基	486
础	487
6	488
个	489
岁	490
划	491
并	492
应	493
判	494
高	495
；	496
极	497
身	498
害	499
胁	500
命	501
立	502
做	503
查	504
背	505
景	506
既	507
服	508
危	509
险	510
暴	511
露	512
行	513
才	514
直	515
观	516
反	517
映	518
略	519
析	520
概	521
涂	522
片	523
察	524
板	525
形	526
改	527
骨	528
髓	529
穿	530
针	531
抽	532
构	533
清	534
肾	535
功	536
隐	537
试	538
镜	539
先	540
挂	541
科	542
急	543
键	544
效	545
剂	546
硫	547
右	548
旋	549
糖	550
酐	551
所	552
适	553
恶	554
呕	555
吐	556
牙	557
齿	558
黑	559
好	560
选	561
择	562
餐	563
偶	564
孢	565
＋	566
雄	567
抑	568
T	569
淋	570
巴	571
破	572
坏	573
机	574
恢	575
复	576
两	577
联	578
损	579
质	580
泼	581
尼	582
松	583
塞	584
米	585
自	586
浮	587
肌	588
宜	589
脾	590
脏	591
场	592
善	593
耐	594
干	595
移	596
植	597
彻	598
底	599
愈	600
须	601
回	602
输	603
宿	604
痒	605
5	606
止	607
迅	608
饮	609
调	610
整	611
甚	612
至	613
达	614
目	615
副	616
作	617
故	618
格	619
掌	620
握	621
证	622
超	623
总	624
则	625
实	626
际	627
工	628
估	629
处	630
虽	631
暂	632
紧	633
普	634
尽	635
慎	636
钾	637
避	638
必	639
敏	640
注	641
辐	642
照	643
全	644
料	645
够	646
终	647
决	648
折	649
顾	650
思	651
义	652
完	653
连	654
老	655
恰	656
痊	657
留	658
延	659
迟	660
畸	661
,	662
闭	663
开	664
仅	665
枝	666
粉	667
碎	668
稳	669
固	670
石	671
膏	672
夹	673
压	674
缩	675
缝	676
次	677
螺	678
车	679
祸	680
腿	681
撞	682
击	683
杠	684
杆	685
转	686
远	687
跌	688
倒	689
撑	690
住	691
角	692
桡	693
拇	694
侧	695
臂	696
叫	697
离	698
疲	699
劳	700
累	701
骼	702
集	703
微	704
跖	705
腓	706
负	707
军	708
士	709
兵	710
跑	711
运	712
员	713
典	714
早	715
漏	716
误	717
疏	718
软	719
纯	720
侵	721
蚀	722
蛀	723
空	724
遇	725
疼	726
剧	727
烈	728
围	729
水	730
擦	731
音	732
互	733
摩	734
初	735
步	736
很	737
按	738
丧	739
颅	740
肩	741
胛	742
抬	743
伸	744
走	745
另	746
股	747
颈	748
嵌	749
插	750
路	751
且	752
脊	753
柱	754
似	755
站	756
热	757
创	758
局	759
温	760
8	761
升	762
伴	763
说	764
许	765
末	766
晚	767
排	768
腔	769
菌	770
冰	771
敷	772
渴	773
盆	774
广	775
泛	776
休	777
克	778
四	779
湿	780
昏	781
迷	782
从	783
虚	784
弱	785
份	786
耗	787
亢	788
担	789
首	790
韧	791
带	792
撕	793
脱	794
三	795
节	796
范	797
牵	798
拉	799
臼	800
又	801
仍	802
保	803
持	804
独	805
怀	806
疑	807
凡	808
拍	809
示	810
向	811
帮	812
助	813
鲜	814
陈	815
旧	816
像	817
毫	818
左	819
晰	820
宽	821
听	822
建	823
议	824
护	825
C	826
M	827
R	828
I	829
光	830
段	831
筛	832
式	833
费	834
廉	835
绝	836
横	837
优	838
密	839
剖	840
越	841
杂	842
提	843
信	844
息	845
胸	846
椎	847
磁	848
共	849
振	850
盘	851
技	852
替	853
代	854
贵	855
问	856
题	857
遵	858
备	859
沟	860
卵	861
巢	862
电	863
将	864
隔	865
日	866
胚	867
候	868
阶	869
语	870
「	871
」	872
象	873
限	874
癌	875
张	876
诱	877
却	878
忽	879
潜	880
那	881
铅	882
遮	883
挡	884
防	885
措	886
施	887
逐	888
层	889
扫	890
描	891
倍	892
钆	893
风	894
熟	895
源	896
纤	897
事	898
识	899
醒	900
请	901
协	902
拨	903
打	904
己	905
腰	906
巾	907
品	908
寻	909
材	910
雨	911
伞	912
让	913
痹	914
搬	915
专	916
业	917
置	918
万	919
脚	920
驼	921
托	922
硬	923
趴	924
送	925
守	926
弹	927
子	928
拖	929
尾	930
钉	931
绍	932
金	933
属	934
牢	935
靠	936
绷	937
支	938
久	939
龄	940
孩	941
利	942
剥	943
锻	944
炼	945
妨	946
俗	947
话	948
筋	949
百	950
字	951
漫	952
罢	953
绑	954
谁	955
习	956
惯	957
各	958
杉	959
柳	960
竹	961
塑	962
垫	963
僵	964
苦	965
附	966
近	967
扎	968
太	969
烂	970
萎	971
疽	972
撒	973
布	974
稀	975
孔	976
纱	977
浸	978
泡	979
晶	980
缠	981
绕	982
坚	983
壳	984
随	985
强	986
舒	987
拆	988
约	989
°	990
流	991
架	992
枕	993
脉	994
搏	995
凉	996
挛	997
季	998
暖	999
洁	1000
污	1001
促	1002
矫	1003
胶	1004
套	1005
裹	1006
圆	1007
锈	1008
钢	1009
贯	1010
滑	1011
装	1012
戳	1013
旦	1014
允	1015
条	1016
件	1017
?	1018
(	1019
)	1020
刀	1021
肉	1022
腱	1023
计	1024
佳	1025
例	1026
锁	1027
髌	1028
尺	1029
鹰	1030
马	1031
醉	1032
刚	1033
饭	1034
喝	1035
